Ticker	Name
1101	台泥
1216	統一
1319	東陽
1532	勤美
2317	鴻海
2330	台積電
2404	漢唐
3017	奇鋐
3131	弘塑
3163	波若威
3324	雙鴻
3491	昇達科
3563	牧德
3653	健策
5871	中租-KY
6442	光聖
7728	光焱科技
