名稱,代碼,
台泥,1101,
統一,1216,
東陽,1319,
勤美,1532,
台達電,2308,
鴻海,2317,
台積電,2330,
聯發科,2454,
元大金,2885,
富邦金,2881,
中信金,2891,
奇鋐,3017,
雙鴻,3324,
新日興,3376,
昇達科,3491,
牧德,3563,
健策,3653,
貿聯-KY,3665,
中租-KY,5871,
光聖,6442,
格斯科技*,6940,
光焱科技,7728,
